date,symbol,performance
2025-02-07,AAPL,-1.0218
2025-02-07,GOOG,-5.2696
2025-02-07,MSFT,-4.4939
2025-02-07,NVDA,-5.7149
2025-02-07,SPX,0.4891
2025-02-10,AAPL,2.2503
2025-02-10,GOOG,-5.7256
2025-02-10,MSFT,-3.7993
2025-02-10,NVDA,-5.1552
2025-02-10,SPX,0.2843
2025-02-11,AAPL,3.9271
2025-02-11,GOOG,-6.4790
2025-02-11,MSFT,-7.7902
2025-02-11,NVDA,-9.7029
2025-02-11,SPX,-0.2936
2025-02-12,AAPL,5.9063
2025-02-12,GOOG,-7.0899
2025-02-12,MSFT,-8.4328
2025-02-12,NVDA,-10.9224
2025-02-12,SPX,-1.0908
2025-02-13,AAPL,8.4164
2025-02-13,GOOG,-6.9440
2025-02-13,MSFT,-7.5485
2025-02-13,NVDA,-5.1395
2025-02-13,SPX,0.2267
2025-02-14,AAPL,6.4126
2025-02-14,GOOG,-3.5609
2025-02-14,MSFT,-6.0130
2025-02-14,NVDA,17.2522
2025-02-14,SPX,1.7023
2025-02-17,AAPL,2.6610
2025-02-17,GOOG,-5.1758
2025-02-17,MSFT,-8.6695
2025-02-17,NVDA,7.6440
2025-02-17,SPX,0.7734
2025-02-18,AAPL,2.1349
2025-02-18,GOOG,-5.7714
2025-02-18,MSFT,-7.3904
2025-02-18,NVDA,12.6920
2025-02-18,SPX,1.4947
2025-02-19,AAPL,3.0641
2025-02-19,GOOG,-7.6494
2025-02-19,MSFT,-0.0530
2025-02-19,NVDA,11.6968
2025-02-19,SPX,1.2021
2025-02-20,AAPL,4.1653
2025-02-20,GOOG,-9.2218
2025-02-20,MSFT,0.2578
2025-02-20,NVDA,16.6903
2025-02-20,SPX,1.2746
2025-02-21,AAPL,7.6926
2025-02-21,GOOG,-10.3928
2025-02-21,MSFT,-0.6595
2025-02-21,NVDA,15.2323
2025-02-21,SPX,0.3096
2025-02-24,AAPL,6.1426
2025-02-24,GOOG,-12.7678
2025-02-24,MSFT,-2.0297
2025-02-24,NVDA,9.8019
2025-02-24,SPX,-0.9048
2025-02-25,AAPL,6.2675
2025-02-25,GOOG,-8.2411
2025-02-25,MSFT,-3.7238
2025-02-25,NVDA,1.4420
2025-02-25,SPX,-1.7525
2025-02-26,AAPL,3.0615
2025-02-26,GOOG,-9.6270
2025-02-26,MSFT,-3.8695
2025-02-26,NVDA,2.0205
2025-02-26,SPX,-2.0960
